pair_id,case_id,case_name,reference_id,reference_label,reference_normalized,generated_id,generated_label,generated_normalized,annotation_category,granularity_type,used_topology,topology_basis,binary_match,operation_calibration_eligible,reviewer_notes
D028,10-8,Deregistration and Assignment,16734517,information about the new assignment,information about the new assignment,n4,go informs mspo about the end and beginning of assignments,go informs mspo about the end and beginning of assignments,structurally_resolvable,,yes,nearest_matched_predecessor,yes,no,First reference notification follows assignment; n4 is the first generated notification after the matched assignment.
D029,10-8,Deregistration and Assignment,16734517,information about the new assignment,information about the new assignment,n5,go informs mpo about the assignment of the go,go informs mpo about the assignment of the go,different,,yes,nearest_matched_predecessor|nearest_matched_successor,no,no,Semantically plausible but n5 is the middle notification rather than the first occurrence.
D030,10-8,Deregistration and Assignment,16734517,information about the new assignment,information about the new assignment,n6,go informs sp about the assignment of the go,go informs sp about the assignment of the go,different,,yes,nearest_matched_predecessor|nearest_matched_successor,no,no,Semantically plausible but n6 is the final notification rather than the first occurrence.
D031,10-8,Deregistration and Assignment,16734521,information about the new assignment,information about the new assignment,n4,go informs mspo about the end and beginning of assignments,go informs mspo about the end and beginning of assignments,different,,yes,nearest_matched_predecessor|nearest_matched_successor,no,no,Semantically plausible but n4 is the first notification rather than the middle occurrence.
D032,10-8,Deregistration and Assignment,16734521,information about the new assignment,information about the new assignment,n5,go informs mpo about the assignment of the go,go informs mpo about the assignment of the go,structurally_resolvable,,yes,nearest_matched_predecessor|nearest_matched_successor,yes,no,Middle reference notification lies between the first and final notifications; n5 has the same local sequence position.
D033,10-8,Deregistration and Assignment,16734521,information about the new assignment,information about the new assignment,n6,go informs sp about the assignment of the go,go informs sp about the assignment of the go,different,,yes,nearest_matched_predecessor|nearest_matched_successor,no,no,Semantically plausible but n6 is the final notification rather than the middle occurrence.
D034,10-8,Deregistration and Assignment,16734520,information about the new assignment,information about the new assignment,n4,go informs mspo about the end and beginning of assignments,go informs mspo about the end and beginning of assignments,different,,yes,nearest_matched_predecessor|nearest_matched_successor,no,no,Semantically plausible but n4 is the first notification rather than the final occurrence.
D035,10-8,Deregistration and Assignment,16734520,information about the new assignment,information about the new assignment,n5,go informs mpo about the assignment of the go,go informs mpo about the assignment of the go,different,,yes,nearest_matched_predecessor|nearest_matched_successor,no,no,Semantically plausible but n5 is the middle notification rather than the final occurrence.
D036,10-8,Deregistration and Assignment,16734520,information about the new assignment,information about the new assignment,n6,go informs sp about the assignment of the go,go informs sp about the assignment of the go,structurally_resolvable,,yes,nearest_matched_predecessor,yes,no,Final reference notification follows the middle notification and n6 occupies the same terminal sequence position.
D037,10-8,Deregistration and Assignment,16734487,deregistration,deregistration,n2,go verifies deregistration,go verifies deregistration,different,,no,,no,yes,Deregistering and verifying deregistration are different lifecycle operations.
D038,10-8,Deregistration and Assignment,16734500,preliminary confirmation of the deregistration,preliminary confirmation of the deregistration,n10,go rejects the deregistration of the mspo,go rejects the deregistration of the mspo,different,,no,,no,yes,Preliminary confirmation and rejection are opposite outcomes.
D039,10-8,Deregistration and Assignment,16734499,rejection of the deregistration,rejection of the deregistration,n11,go preliminarily confirms the deregistration of the mspo,go preliminarily confirms the deregistration of the mspo,different,,no,,no,yes,Rejection and preliminary confirmation are opposite outcomes.
